Manufcature,Type,Engine,Controller,"Cummins Code
",SPN,FMI,Code
Cummins,,Cummins,Ecm,"661
",1323,0,High #1 LB Cylinder Power
Cummins,,Cummins,Ecm,"662
",1138,16,High #2 LB Cylinder Power
Cummins,,Cummins,Ecm,"662
",1324,0,High #2 LB Cylinder Power
Cummins,,Cummins,Ecm,"663
",1139,16,High #3 LB Cylinder Power
Cummins,,Cummins,Ecm,"663
",1325,0,High #3 LB Cylinder Power
Cummins,,Cummins,Ecm,"664
",1140,16,High #4 LB Cylinder Power
Cummins,,Cummins,Ecm,"664
",1326,0,High #4 LB Cylinder Power
Cummins,,Cummins,Ecm,"665
",1141,16,High #5 LB Cylinder Power
Cummins,,Cummins,Ecm,"665
",1327,0,High #5 LB Cylinder Power
Cummins,,Cummins,Ecm,"666
",1142,16,High #6 LB Cylinder Power
Cummins,,Cummins,Ecm,"666
",1328,0,High #6 LB Cylinder Power
Cummins,,Cummins,Ecm,"667
",1143,16,High #7 LB Cylinder Power
Cummins,,Cummins,Ecm,"668
",1144,16,High #8 LB Cylinder Power
Cummins,,Cummins,Ecm,"669
",,,Change coolant filter
Cummins,,Cummins,Ecm,"671
",1137,4,Cyl #1 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"672
",1138,4,Cyl #2 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"673
",1139,4,Cyl #3 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"674
",1140,4,Cyl #4 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"675
",1141,4,Cyl #5 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"676
",1142,4,Cyl #6 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"677
",1143,4,Cyl #7 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"678
",1144,4,Cyl #8 LB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"679
",,,Change Coolant
Cummins,,Cummins,Ecm,"691
",1172,3,LBF Turbo Comp Inlet Temp Sens Failed High
Cummins,,Cummins,Ecm,"692
",1172,4,LBR Turbo Comp Inlet Temp Sens Failed Low
Cummins,,Cummins,Ecm,"694
",1173,3,RBF Turbo Comp Inlet Temp Sens Failed High
Cummins,,Cummins,Ecm,"695
",1174,4,RBR Turbo Comp Inlet Temp Sens Failed Low
Cummins,,Cummins,Ecm,"727
",1151,4,Cyl #7 RB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"728
",1152,4,Cyl #8 RB Exhaust Temp Sens Failed Low
Cummins,,Cummins,Ecm,"729
",1264,4,Crankcase Blowby Pressure Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"747
",,,Trend Data Memory Nearly Full
Cummins,,Cummins,Ecm,"748
",,,Trend Data Memory Full
Cummins,,Cummins,Ecm,"749
",,,Fault Log Snapshot Data Nearly Full
Cummins,,Cummins,Ecm,"753
",723,2,Engine Speed/Position #2 - Cam sync error
Cummins,,Cummins,Ecm,"754
",,,Fault Log Snapshot Data Full
Cummins,,Cummins,Ecm,"755
",157,7,Injector Metering Rail #1 Pressure Malfunction
Cummins,,Cummins,Ecm,"756
",,,Change Lubricating Oil Filters
Cummins,,Cummins,Ecm,"757
",,,Catastrophic Power Loss - ECM Data Lost
Cummins,,Cummins,Ecm,"758
",1349,7,Injector Metering Rail #2 Pressure Malfunction
Cummins,,Cummins,Ecm,"768
",923,11,Output Device Driver (VGT or Transmission shift PWM signal)
Cummins,,Cummins,Ecm,"777
",1180,0,Turbocharger #1 Turbine Inlet Temperature High - warning level
Cummins,,Cummins,Ecm,"779
",703,11,Auxiliary Equipment Sensor Input # 3 (OEM Switch)
Cummins,,Cummins,Ecm,783,,,Rapid Rise in Intake Manifold Temperature LBF
Cummins,,Cummins,Ecm,"951
",166,2,Cylinder Power Imbalance between cylinders
Cummins,,Cummins,Ecm,"1000
",,,Vehicle Controller initiated fault log
Cummins,,Cummins,Ecm,2144,1153,0,High #9 LB Cylinder Exhaust Temperature
Cummins,,Cummins,Ecm,2145,1154,0,High #9 RB Cylinder Exhaust Temperature
Cummins,,Cummins,Ecm,2146,1153,4,Exhaust Gas Temperature Sensor Circuit Failed Low Cyl # 9 RB
Cummins,,Cummins,Ecm,2147,1154,4,Exhaust Gas Temperature Sensor Circuit Failed Low Cyl # 9 LB
Cummins,,Cummins,Ecm,2148,1340,16,High Power – Cylinder # 9 Left Bank
Cummins,,Cummins,Ecm,2149,1341,16,High Power – Cylinder # 9 Right Bank
Cummins,,Cummins,Ecm,2151,1340,18,Low Power – Cylinder # 9 Left Bank
Cummins,,Cummins,Ecm,2152,1341,18,Low Power – Cylinder # 9 Right Bank
Cummins,,Cummins,Ecm,"2154
",611,3,Post-Filter Oil Pressure Sensor Circuit- Shorted high
Cummins,,Cummins,Ecm,"2155
",611,4,Post-Filter Oil Pressure Sensor Circuit- Shorted Low
Cummins,,Cummins,Ecm,2157,1131,10,Rapid Rise in Intake Manifold Temperature LBR
Cummins,,Cummins,Ecm,2158,1132,10,Rapid Rise in Intake Manifold Temperature RBF
Cummins,,Cummins,Ecm,2159,1133,10,Rapid Rise in Intake Manifold Temperature RBR
Cummins,,Cummins,Ecm,"2194
",1387,11,Auxiliary Equipment Sensor Input # 2 (OEM Pressure Sensor) Engine Protection – Warning
Cummins,,Cummins,Ecm,"2195
",703,14,Auxiliary Equipment Sensor Input # 3 (OEM Switch) Engine Protection - Critical
Cummins,,Cummins,Ecm,2241,,,Left Bank Middle High Intake Manifold Temperature - EP
Cummins,,Cummins,Ecm,2242,,,Left Bank Middle Intake Manifold Temp Sensor Circuit Failed High
Cummins,,Cummins,Ecm,2243,,,Left Bank Middle Intake Manifold Temp Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,2244,,,Rapid Rise in Intake Manifold Temperature LBM
Cummins,,Cummins,Ecm,2245,,,Right Bank Middle High Intake Manifold Temperature - EP
Cummins,,Cummins,Ecm,2246,,,Right Bank Middle Intake Manifold Temp Sensor Circuit Failed High
Cummins,,Cummins,Ecm,2247,,,Right Bank Middle Intake Manifold Temp Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,2248,,,Rapid Rise in Intake Manifold Temperature RBM
Cummins,,Cummins,Ecm,2251,,,Front Intercooler Boost Pressure High
Cummins,,Cummins,Ecm,2252,,,Front Intercooler Boost Pressure Low
Cummins,,Cummins,Ecm,2253,,,Front Intercooler Boost Pressure Out of Range High
Cummins,,Cummins,Ecm,2254,,,Front Intercooler Boost Pressure Out of Range Low
Cummins,,Cummins,Ecm,2255,,,Rear Intercooler Boost Pressure High
Cummins,,Cummins,Ecm,2256,,,Rear Intercooler Boost Pressure Low
Cummins,,Cummins,Ecm,2257,,,Rear Intercooler Boost Pressure Out of Range High
Cummins,,Cummins,Ecm,2258,,,Rear Intercooler Boost Pressure Out of Range Low
